2025-01-04|09:12:34 AM|Dining Out|Bistro 41|-85.50|P
2025-01-10|11:45:02 AM|Groceries|GreenMart|-132.20|P
2025-01-15|04:18:29 PM|Coffee Shop|Brew&Bean|-21.75|P
2025-01-20|08:22:19 AM|Salary|Orion Tech|2500.00|D
2025-01-22|12:37:11 PM|Streaming Subscription|VibeStream|-14.99|P
2025-01-27|07:05:44 PM|Gas Station|FuelMax|-58.65|P
2025-01-30|06:55:22 AM|Concert Ticket|StageLive|-120.00|P
2025-02-02|02:13:39 PM|Gift Purchase|Urban Box|310.50|D
2025-02-10|09:00:01 AM|Online Purchase|GearSphere|-247.35|P
2025-02-14|03:21:50 PM|Gym Fee|FitCore|-49.99|P
2025-02-20|10:48:18 AM|Coffee Shop|Daily Grind|12.50|D
2025-02-28|12:05:00 PM|Salary|Orion Tech|2500.00|D
2025-03-03|04:40:33 PM|Dining Out|NoodleCraft|-92.70|P
2025-03-10|08:00:00 AM|Streaming Subscription|Screenie|9.99|D
2025-03-15|11:12:10 AM|Groceries|MarketFresh|-147.89|P
2025-01-04|09:12:34|Dining out |Bistro|85.50|deposit
2025|11:12:00|Gym |fitcore|-12.50|payment
2025-01-04|09:14:12|dinning|bistro|85.00|deposit
